year,category,full_name,show,won
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,BOMBSHELL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,THE IRISHMAN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,JOJO RABBIT,FALSE
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,ONCE UPON A TIME...IN HOLLYWOOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,PARASITE,TRUE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CYNTHIA ERIVO,HARRIET,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,SCARLETT JOHANSSON,MARRIAGE STORY,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,LUPITA NYONG'O,US,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CHARLIZE THERON,BOMBSHELL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,RENÉE ZELLWEGER,JUDY,TRUE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,CHRISTIAN BALE,FORD V FERRARI,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,LEONARDO DICAPRIO,ONCE UPON A TIME...IN HOLLYWOOD,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,ADAM DRIVER,MARRIAGE STORY,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,TARON EGERTON,ROCKETMAN,FALSE
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,JOAQUIN PHOENIX,JOKER,TRUE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,LAURA DERN,MARRIAGE STORY,TRUE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,SCARLETT JOHANSSON,JOJO RABBIT,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,NICOLE KIDMAN,BOMBSHELL,FALSE
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,JENNIFER LOPEZ,HUSTLERS,FALSE
